node_id:ID,name
a583,"Whyte-Melville, G. J. (George John)"
a584,"Souttar, Henry Sessions"
a585,"Ainger, Alfred"
a586,"Hartness, James"
a587,"Stoddard, John L. (John Lawson)"
a588,"Bonte, Willard"
a589,"Ramakrishna Pillai, T. (Thottakadu)"
a590,"Fenn, George Manville"
a591,"Corner, Miss (Julia)"
a592,"Stratton-Porter, Gene"
a593,"Falckenberg, Richard"
a594,"Johnson, Edward A. (Edward Austin)"
a595,"Woodworth, Francis C. (Francis Channing)"
a596,"Malan, César"
a597,"Marchant, Bessie"
a598,"Cairns, John"
a599,"Knevels, Gertrude"
a600,"Schoolcraft, Henry Rowe"
a601,"Tuthill, Cornelia L. (Cornelia Louisa)"
a602,"Edgeworth, Maria"
a603,"Martin, Benj. N. (Benjamin Nicholas)"
a604,"Francke, Kuno"
a605,"Terry, Jean F. (Jean Finlay)"
a606,"Rinehart, Mary Roberts"
a607,"Rousseau, Jean-Jacques"
a608,"Steward, Austin"
a609,"Nye, Bill"
a610,"Whitney, A. D. T. (Adeline Dutton Train)"
a611,"Tarrant, W. G. (William George)"
a612,"Porter, Eleanor H. (Eleanor Hodgman)"
a613,"Langford, Nathaniel Pitt"
a614,"Houghton, Eliza Poor Donner"
a615,"Livermore, Edward"
a616,"Ellis, Edward Sylvester"
a617,"Hornung, E. W. (Ernest William)"
a618,"Gibbs, J. Arthur (Joseph Arthur)"
a619,"Webster, Henry Kitchell"
a620,"Macaulay, Rose"
a621,"Bannerman, Helen"
a622,"Maggard, James H."
a623,"Chalmers, Margaret Piper"
a624,"Sheldon, Lurana"
a625,"Kincaid, C. A. (Charles Augustus)"
a626,"O'Clery, Michael"
a627,"Drinkwater, John"
a628,"Baldwin, James"
a629,"Betham, Matilda"
a630,"Cooke, Marjorie Benton"
a631,"Becker, Carl Heinrich"
a632,"McGowan, Richard"
a633,"Bénézet, Louis Paul"
a634,"King, Philip Parker"
a635,"Reeks, H. Caulton (Harry Caulton)"
a636,"Lauder, Harry, Sir"
a637,"Curtis, William Eleroy"
a638,"Kelly, Sophia"
a639,"Gent, Thomas"
a640,"Price, Edith Ballinger"
a641,"Fisher, Dorothy Canfield"
a642,"Sinclair, Bertrand W."
a643,"Poston, Charles D. (Charles Debrille)"
a644,"Williams, George Alfred"
a645,"Bairnsfather, Bruce"
a646,"Pinchot, Gifford"
a647,"Defoe, Daniel"
a648,"Johnston, William"
a649,"Hardley, Robert"
a650,"Swedenborg, Emanuel"
a651,"Cody, Sherwin"
a652,"Sylvester, Charles Herbert"
a653,"Johnson, R. Brimley (Reginald Brimley)"
a654,"Morrison, Arthur"
a655,"Doddridge, Philip"
a656,"Parnell, Thomas"
a657,"United States. Work Projects Administration"
a658,"Fowler, W. Warde (William Warde)"
a659,"Dowd, Emma C."
a660,"Gregory, William Robert"
a661,"Vaknin, Samuel"
a662,"Rangelovska, Lidija"
a663,"Jung, Nizamat, Sir"
a664,"Sheldon, Georgie, Mrs."
a665,"Zakrzewska, Marie E. (Marie Elizabeth)"
a666,"American Anti-Slavery Society"
a667,"Balzac, Honoré de"
a668,"Budge, E. A. Wallis (Ernest Alfred Wallis), Sir"
a669,"Ade, George"
a670,"Holmes, Mary Jane"
a671,"Geldart, Thomas, Mrs."
a672,"Buffa, John"
a673,"Barker, Edward Harrison"
a674,"Greiffenhagen, Maurice"
a675,"Moore, George Augustus"
a676,"Gibson, Charles Dana"
